timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State-39.16,1
525888,35,56,74,730,6,38,0,25.23,1021.73,25.62,502.49,-39.16,1
526884,35,56,74,731,6,38,0,25.23,1021.73,25.64,504.00,-39.24,1
527880,34,55,74,730,6,37,0,25.23,1021.74,25.66,504.75,-39.16,1
528876,34,56,74,731,6,37,0,25.23,1021.73,25.68,506.66,-39.24,1
529872,34,56,74,732,6,38,0,25.23,1021.74,25.72,504.00,-39.24,1
530868,34,56,73,731,6,38,0,25.23,1021.74,25.74,501.74,-39.24,1
531864,35,56,74,732,6,37,0,25.23,1021.74,25.76,505.13,-39.33,1
532860,34,56,74,732,5,41,0,25.23,1021.75,25.79,506.66,-39.24,1
533856,35,56,74,732,6,37,0,25.23,1021.74,25.82,504.75,-39.33,1
534852,34,56,74,732,6,38,0,25.23,1021.75,25.85,503.62,-39.24,1
535848,35,56,73,732,7,38,0,25.24,1021.74,25.88,505.51,-39.24,1
536844,34,56,73,732,6,37,0,25.24,1021.74,25.89,509.35,-39.33,1
537840,34,56,74,732,6,38,0,25.24,1021.75,25.93,504.75,-39.33,1
538836,34,56,74,733,6,37,0,25.24,1021.75,25.95,508.57,-39.33,1
539832,34,56,73,733,6,38,0,25.24,1021.75,25.96,510.89,-39.33,1
540828,34,55,73,734,6,39,0,25.24,1021.75,25.98,508.57,-39.24,1
541824,34,56,73,734,6,39,0,25.24,1021.74,25.99,508.57,-39.24,1
542820,34,56,73,735,5,36,0,25.24,1021.74,26.00,510.51,-39.24,1
543816,34,56,74,737,7,37,0,25.25,1021.74,26.01,509.35,-39.16,1
544812,34,56,74,738,6,37,0,25.25,1021.73,26.04,510.89,-39.16,1
545808,34,56,73,738,6,37,0,25.25,1021.73,26.05,511.28,-39.16,1
546804,34,56,74,739,6,37,0,25.25,1021.73,26.05,510.12,-39.08,1
547800,34,57,74,740,6,37,0,25.25,1021.72,26.06,511.67,-39.08,1
548796,34,57,74,740,6,34,0,25.26,1021.72,26.09,509.35,-39.16,1
549792,34,57,74,741,6,37,0,25.26,1021.73,26.12,509.73,-39.16,1
550788,34,57,74,741,6,37,0,25.26,1021.73,26.13,510.12,-39.24,1
551784,33,57,74,741,6,37,0,25.26,1021.74,26.14,510.12,-39.24,1
552780,34,57,74,742,6,37,0,25.26,1021.74,26.17,510.12,-39.16,1
553776,34,57,74,743,7,37,0,25.27,1021.73,26.19,510.51,-39.16,1
554772,34,57,74,742,6,37,0,25.27,1021.73,26.21,507.81,-39.08,1
555768,33,57,74,743,6,37,0,25.27,1021.72,26.23,507.81,-39.08,1
556764,34,57,74,743,6,37,0,25.27,1021.72,26.23,508.19,-39.08,1
557760,33,58,73,743,6,37,0,25.27,1021.72,26.24,503.24,-39.08,1
558756,34,58,74,743,6,37,0,25.28,1021.72,26.25,509.35,-39.00,1
559752,33,57,74,744,6,38,0,25.28,1021.71,26.24,508.96,-39.08,1
560748,34,57,74,744,6,37,0,25.28,1021.72,26.26,507.81,-39.08,1
561744,34,58,74,744,6,37,0,25.28,1021.72,26.27,506.66,-39.08,1
562740,34,58,74,744,6,37,0,25.28,1021.72,26.30,507.42,-39.16,1
563736,34,58,74,745,6,37,0,25.29,1021.73,26.32,506.66,-39.16,1
564732,34,58,74,746,6,36,0,25.29,1021.73,26.35,503.24,-39.24,1
565728,33,57,74,746,6,37,0,25.29,1021.74,26.36,508.57,-39.24,1
566724,34,58,74,746,6,37,0,25.30,1021.74,26.36,508.57,-39.24,1
567720,34,58,74,747,6,37,0,25.30,1021.74,26.35,508.19,-39.33,1
568716,34,58,74,748,5,37,0,25.30,1021.75,26.37,508.19,-39.41,1
569712,34,58,74,747,6,37,0,25.30,1021.76,26.36,507.81,-39.41,1
570708,34,58,75,748,6,38,0,25.30,1021.76,26.37,505.89,-39.41,1
571704,34,58,74,749,6,39,0,25.31,1021.76,26.34,506.66,-39.41,1
572700,34,58,75,749,6,38,0,25.31,1021.76,26.35,507.04,-39.33,1
573696,34,59,74,749,7,38,0,25.31,1021.75,26.33,507.04,-39.33,1
574692,34,58,74,750,6,37,0,25.31,1021.75,26.32,507.81,-39.33,1
575688,34,58,74,750,6,38,0,25.32,1021.75,26.32,508.96,-39.33,1
576684,34,58,74,750,6,41,0,25.32,1021.75,26.31,507.04,-39.33,1
577680,34,58,75,750,6,37,0,25.32,1021.75,26.30,509.35,-39.33,1
578676,34,59,74,750,6,39,0,25.32,1021.75,26.29,503.24,-39.33,1
579672,34,59,74,750,6,38,0,25.32,1021.75,26.28,508.57,-39.33,1
580668,34,59,75,750,6,38,0,25.33,1021.75,26.27,508.19,-39.33,1
581664,34,58,75,751,6,38,0,25.33,1021.75,26.27,507.81,-39.33,1
582660,34,58,75,751,6,37,0,25.33,1021.75,26.28,508.57,-39.24,1
583656,33,59,75,752,6,36,0,25.33,1021.74,26.29,507.81,-39.24,1
584652,34,59,75,752,6,38,0,25.33,1021.74,26.32,505.89,-39.33,1
585648,34,59,75,752,6,38,0,25.33,1021.75,26.38,505.89,-39.33,1
586644,34,58,75,751,6,37,0,25.33,1021.75,26.46,504.75,-39.33,1
587640,34,58,74,751,6,37,0,25.34,1021.75,26.54,504.00,-39.33,1
588636,34,58,74,750,6,38,0,25.34,1021.75,26.61,504.00,-39.33,1
589632,34,59,75,751,6,37,0,25.34,1021.75,26.66,501.74,-39.33,1
590628,34,59,74,751,6,38,0,25.34,1021.75,26.70,505.51,-39.33,1
591624,34,59,74,750,6,37,0,25.34,1021.75,26.74,503.62,-39.33,1
592620,34,59,74,750,6,38,0,25.34,1021.75,26.77,504.75,-39.41,1
593616,34,58,74,751,5,37,0,25.35,1021.76,26.79,502.49,-39.41,1
594612,34,59,74,751,6,37,0,25.35,1021.76,26.80,500.99,-39.41,1
595608,34,59,75,752,6,40,0,25.35,1021.76,26.81,501.74,-39.41,1
596604,34,59,74,752,6,36,0,25.35,1021.76,26.81,503.24,-39.41,1
597600,34,58,75,753,6,37,0,25.35,1021.76,26.80,502.87,-39.41,1
598596,34,59,75,754,6,37,0,25.35,1021.76,26.79,501.36,-39.41,1
599592,34,59,75,754,6,38,0,25.35,1021.76,26.79,500.24,-39.41,1
0,33,59,76,756,6,38,0,25.36,1021.76,26.78,502.87,-39.33,1
996,34,60,76,757,6,38,0,25.29,1021.75,26.84,493.26,-39.33,1
1992,34,60,76,757,6,38,0,25.28,1021.75,26.88,490.74,-39.41,1
2988,34,60,76,757,7,38,0,25.29,1021.76,26.92,493.99,-39.33,1
3984,34,60,76,757,6,39,0,25.30,1021.75,26.94,493.63,-39.33,1
4980,34,60,76,757,5,37,0,25.31,1021.75,26.96,494.35,-39.33,1
5976,34,59,76,757,6,38,0,25.32,1021.75,26.98,495.08,-39.33,1
6972,34,59,76,757,6,38,0,25.33,1021.75,26.98,488.96,-39.33,1
7968,34,59,75,757,6,38,0,25.34,1021.75,26.99,493.63,-39.33,1
8964,34,60,76,756,6,38,0,25.34,1021.75,27.01,494.72,-39.33,1
9960,34,59,75,756,6,37,0,25.35,1021.75,27.02,493.99,-39.33,1
10956,34,60,75,755,6,37,0,25.35,1021.75,27.02,493.63,-39.41,1
11952,34,59,75,755,6,37,0,25.36,1021.76,27.02,492.90,-39.33,1
12948,34,59,75,755,5,37,0,25.36,1021.75,27.01,490.38,-39.41,1
13944,34,59,75,755,6,38,0,25.36,1021.76,27.00,493.63,-39.41,1
14940,34,59,75,755,6,38,0,25.37,1021.76,26.98,493.99,-39.41,1
15936,34,60,76,756,6,35,0,25.37,1021.76,26.98,494.35,-39.41,1
16932,34,59,76,756,6,37,0,25.37,1021.76,26.95,489.31,-39.41,1
17928,34,59,76,756,6,37,0,25.37,1021.76,26.93,494.72,-39.41,1
18924,34,59,75,756,6,37,0,25.38,1021.76,26.92,493.26,-39.33,1
19920,34,59,76,757,6,38,0,25.38,1021.75,26.92,493.99,-39.41,1
20916,34,59,75,757,6,36,0,25.38,1021.76,26.87,495.45,-39.41,1
21912,34,60,76,758,6,37,0,25.38,1021.76,26.85,493.63,-39.41,1
22908,35,59,76,758,5,38,0,25.38,1021.76,26.82,495.08,-39.41,1
23904,34,59,76,759,6,38,0,25.38,1021.76,26.82,494.35,-39.41,1
24900,34,60,76,759,6,38,0,25.38,1021.76,26.79,493.99,-39.41,1
25896,34,60,77,759,6,37,0,25.39,1021.76,26.77,494.72,-39.33,1
26892,34,60,76,758,6,37,0,25.39,1021.75,26.75,492.90,-39.41,1
27888,34,60,77,759,6,38,0,25.39,1021.76,26.73,493.99,-39.41,1
28884,34,60,77,759,6,37,0,25.39,1021.76,26.73,492.90,-39.41,1
29880,34,60,77,760,6,36,0,25.39,1021.76,26.72,495.08,-39.41,1
30876,34,59,77,761,6,37,0,25.39,1021.76,26.72,493.63,-39.49,1
31872,35,60,78,761,6,37,0,25.39,1021.77,26.70,495.08,-39.49,1
32868,34,60,78,762,6,37,0,25.39,1021.77,26.70,494.72,-39.49,1
33864,35,60,77,762,6,37,0,25.40,1021.77,26.69,494.72,-39.49,1
34860,35,60,78,762,6,35,0,25.40,1021.77,26.68,494.35,-39.49,1
35856,35,60,77,762,6,37,0,25.40,1021.77,26.70,495.08,-39.41,1
36852,34,60,77,762,6,38,0,25.40,1021.76,26.70,494.35,-39.49,1
37848,35,60,77,762,6,37,0,25.40,1021.77,26.72,494.35,-39.49,1
38844,35,60,77,762,6,38,0,25.40,1021.77,26.73,494.35,-39.49,1
39840,35,60,77,761,6,37,0,25.40,1021.77,26.77,494.35,-39.49,1
40836,35,60,77,762,6,37,0,25.40,1021.77,26.81,490.38,-39.58,1
41832,35,60,77,760,6,37,0,25.40,1021.78,26.85,490.38,-39.49,1
42828,35,60,77,759,6,37,0,25.41,1021.77,26.91,491.82,-39.49,1
43824,35,60,76,759,6,37,0,25.41,1021.77,26.95,492.54,-39.49,1
44820,34,59,77,759,6,38,0,25.41,1021.77,26.97,491.46,-39.49,1
45816,35,60,77,759,6,37,0,25.41,1021.77,26.98,487.18,-39.49,1
46812,34,59,77,759,6,37,0,25.41,1021.77,26.98,490.03,-39.49,1
47808,35,60,76,758,6,38,0,25.41,1021.77,26.97,490.74,-39.49,1
48804,35,60,77,758,6,38,0,25.41,1021.77,26.97,489.31,-39.49,1
49800,35,60,77,758,6,37,0,25.41,1021.77,26.98,490.03,-39.41,1
50796,35,59,77,757,6,39,0,25.41,1021.76,27.00,485.77,-39.49,1
51792,35,59,76,757,6,38,0,25.41,1021.77,27.01,489.67,-39.49,1
52788,35,59,76,755,6,38,0,25.42,1021.77,27.01,489.31,-39.49,1
53784,35,59,76,756,6,37,0,25.42,1021.77,27.03,490.03,-39.49,1
54780,35,59,76,756,6,38,0,25.42,1021.77,27.02,489.31,-39.49,1
55776,35,60,76,757,6,38,0,25.42,1021.77,27.02,490.38,-39.49,1
56772,35,60,77,757,7,37,0,25.42,1021.77,27.02,489.67,-39.58,1
57768,35,60,77,757,6,38,0,25.42,1021.78,27.02,490.38,-39.58,1
58764,35,59,76,757,6,38,0,25.42,1021.78,27.02,488.96,-39.58,1
59760,35,59,77,757,6,38,0,25.42,1021.78,27.01,488.96,-39.58,1
60756,35,59,77,758,6,38,0,25.42,1021.78,27.02,489.67,-39.58,1
61752,35,60,77,757,6,38,0,25.42,1021.78,27.00,488.25,-39.58,1
62748,35,60,77,757,6,37,0,25.42,1021.78,26.99,490.03,-39.58,1
63744,35,60,77,756,5,38,0,25.42,1021.78,26.98,488.96,-39.58,1
64740,35,60,76,756,6,37,0,25.42,1021.78,26.95,489.31,-39.58,1
65736,35,59,76,756,6,35,0,25.42,1021.78,26.94,488.25,-39.58,1
66732,35,59,77,755,6,37,0,25.42,1021.78,26.94,487.89,-39.58,1
67728,35,59,77,755,6,38,0,25.42,1021.78,26.96,488.60,-39.58,1
68724,35,59,76,755,6,38,0,25.43,1021.78,27.01,487.89,-39.58,1
69720,35,59,76,753,6,38,0,25.43,1021.78,27.11,484.72,-39.58,1
70716,35,59,76,754,6,38,0,25.43,1021.78,27.22,485.42,-39.58,1
71712,35,59,76,753,6,38,0,25.43,1021.78,27.36,484.72,-39.66,1
72708,35,59,76,753,6,38,0,25.43,1021.79,27.49,479.53,-39.58,1
73704,35,59,77,754,6,38,0,25.43,1021.78,27.63,480.91,-39.58,1
74700,35,59,77,755,6,38,0,25.43,1021.78,27.78,480.56,-39.49,1
75696,34,59,78,755,6,38,0,25.43,1021.77,27.87,480.22,-39.58,1
76692,35,59,77,756,6,38,0,25.43,1021.78,27.93,481.25,-39.49,1
77688,35,59,77,756,6,38,0,25.43,1021.77,27.91,481.60,-39.49,1
78684,35,59,77,757,6,38,0,25.43,1021.77,27.87,481.60,-39.49,1
79680,35,59,78,757,6,37,0,25.43,1021.77,27.80,479.53,-39.49,1
80676,35,60,78,757,6,38,0,25.43,1021.77,27.74,482.29,-39.49,1
81672,35,59,77,757,6,38,0,25.43,1021.77,27.66,482.29,-39.49,1
82668,35,59,77,756,6,38,0,25.43,1021.77,27.60,482.98,-39.49,1
83664,35,59,77,757,6,38,0,25.43,1021.77,27.53,482.29,-39.49,1
84660,36,60,77,756,8,37,0,25.43,1021.77,27.43,483.33,-39.49,1
85656,35,59,77,756,6,38,0,25.43,1021.77,27.34,484.37,-39.49,1
86652,35,60,77,756,5,38,0,25.43,1021.77,27.25,484.37,-39.49,1
87648,36,59,77,756,6,38,0,25.43,1021.77,27.19,483.68,-39.58,1
88644,36,60,77,756,6,38,0,25.43,1021.78,27.16,484.37,-39.58,1
89640,35,60,76,756,6,41,0,25.43,1021.78,27.16,483.68,-39.58,1
90636,35,60,77,756,6,38,0,25.43,1021.78,27.16,484.37,-39.58,1
91632,35,59,77,756,6,36,0,25.43,1021.78,27.16,484.37,-39.58,1
92628,35,59,77,757,6,38,0,25.43,1021.78,27.16,483.68,-39.49,1
93624,35,60,78,757,6,38,0,25.43,1021.77,27.18,483.68,-39.49,1
94620,35,60,78,757,6,37,0,25.43,1021.77,27.19,481.60,-39.41,1
95616,36,60,78,758,6,37,0,25.43,1021.76,27.23,481.94,-39.41,1
96612,35,60,78,758,6,37,0,25.44,1021.76,27.28,481.94,-39.49,1
97608,36,60,78,758,6,38,0,25.44,1021.77,27.34,482.29,-39.58,1
98604,35,59,78,759,6,37,0,25.44,1021.78,27.39,476.47,-39.58,1
99600,36,60,79,758,6,37,0,25.44,1021.78,27.46,481.25,-39.66,1
100596,36,60,79,759,6,37,0,25.44,1021.79,27.52,478.85,-39.66,1
101592,36,60,79,760,6,38,0,25.44,1021.79,27.61,480.22,-39.66,1
102588,36,60,80,760,6,37,0,25.44,1021.79,27.70,477.49,-39.66,1
103584,36,60,80,761,6,38,0,25.44,1021.79,27.79,477.49,-39.58,1
104580,35,60,80,761,6,38,0,25.44,1021.78,27.87,477.49,-39.66,1
105576,36,60,79,761,6,37,0,25.44,1021.79,27.97,474.79,-39.58,1
106572,36,60,79,760,6,37,0,25.44,1021.78,28.05,476.14,-39.66,1
107568,36,60,79,760,6,37,0,25.44,1021.79,28.10,475.12,-39.66,1
108564,36,60,78,760,6,39,0,25.44,1021.79,28.12,471.13,-39.66,1
109560,36,60,79,759,6,38,0,25.44,1021.79,28.12,474.45,-39.58,1
110556,36,60,79,758,6,37,0,25.44,1021.78,28.07,476.47,-39.58,1
111552,36,60,79,758,6,38,0,25.44,1021.78,28.02,475.46,-39.66,1
112548,36,59,79,757,6,38,0,25.44,1021.79,27.96,475.80,-39.66,1
113544,35,60,78,756,6,35,0,25.44,1021.79,27.91,474.12,-39.66,1
114540,36,59,78,756,6,37,0,25.44,1021.79,27.89,476.14,-39.66,1
115536,36,59,78,756,5,38,0,25.44,1021.79,27.83,475.80,-39.66,1
116532,36,59,78,755,6,38,0,25.44,1021.79,27.79,476.14,-39.58,1
117528,36,59,77,755,6,35,0,25.44,1021.78,27.72,476.14,-39.58,1
118524,36,59,77,755,6,36,0,25.44,1021.78,27.68,475.80,-39.58,1
119520,35,59,78,755,6,38,0,25.44,1021.78,27.62,475.80,-39.58,1
120516,36,59,77,756,6,38,0,25.44,1021.78,27.59,476.14,-39.49,1
121512,36,60,78,756,6,37,0,25.44,1021.77,27.58,476.14,-39.58,1
122508,36,59,78,756,6,36,0,25.44,1021.78,27.55,476.14,-39.58,1
123504,36,59,77,756,6,37,0,25.44,1021.78,27.52,475.46,-39.58,1
124500,36,60,78,756,5,38,0,25.44,1021.78,27.51,476.81,-39.58,1
125496,36,59,78,756,6,37,0,25.44,1021.78,27.47,476.14,-39.58,1
126492,36,60,78,756,6,39,0,25.44,1021.78,27.43,476.14,-39.58,1
127488,36,60,78,756,6,36,0,25.44,1021.78,27.39,476.47,-39.58,1
128484,36,60,78,756,6,38,0,25.44,1021.78,27.35,476.14,-39.49,1
129480,36,60,78,756,5,38,0,25.44,1021.77,27.33,477.49,-39.58,1
130476,36,60,78,756,6,38,0,25.44,1021.78,27.32,477.49,-39.58,1
131472,36,60,78,756,6,36,0,25.44,1021.78,27.31,477.83,-39.58,1
132468,36,60,78,757,6,37,0,25.44,1021.78,27.31,475.80,-39.58,1
133464,36,60,79,757,6,38,0,25.44,1021.78,27.32,476.81,-39.58,1
134460,36,60,79,757,6,35,0,25.44,1021.78,27.29,477.49,-39.58,1
135456,36,60,79,757,6,37,0,25.44,1021.78,27.28,477.49,-39.58,1
